,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Botswana,249.7700155,259.4135336,269.9745542,278.7134823,289.9204662,298.4190174,308.3887356,317.1111741,340.0960596,379.5676266,430.7936295,525.1541331,642.759403,754.6627629,793.6963732,830.805109,885.955658,955.4232534,1051.455193,1135.876266,1226.950774,1292.667331,1402.369988,1536.126878,1615.036476,1676.192531,1757.191851,1906.106782,2208.462982,2422.947375,2511.652326,2621.688473,2622.548477,2600.055854,2623.847934,2670.99998,2752.035142,2962.956352,3206.546664,3371.466511,3586.061249,3716.335624,3789.693027,3979.3601,4188.50442,4328.499087,4394.906392,4434.554074,4497.116864,
Brazil,1448.140089,1549.884935,1582.270699,1548.926194,1556.558633,1559.220299,1580.112778,1614.442949,1753.207579,1876.066464,1990.722966,2162.339455,2365.696996,2633.344327,2804.572961,2881.893817,3090.278936,3157.385855,3183.654552,3320.152995,3538.764231,3305.144099,3248.027512,3066.464829,3157.307619,3336.383644,3530.122817,3586.267439,3515.960846,3566.517059,3354.752532,3349.7193,3281.753355,3382.548813,3509.451936,3609.488729,3631.73658,3698.135567,3644.601112,3600.249126,3701.471956,3697.23195,3743.30099,3735.880782,3899.464311,3974.823976,4086.823232,4273.969686,4447.612255,
Brunei,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22976.70347,22139.74196,25571.10783,27295.46942,28090.46921,33244.52612,29915.32171,23252.87945,23475.25557,22936.80607,22440.28618,21494.73591,20328.0197,20155.91875,19805.36416,19043.32254,18713.33125,18765.50521,19115.06154,18649.05636,18718.9516,19043.85633,19089.71357,18338.30211,17792.34873,17903.88124,17996.02825,18085.95493,18390.84276,18538.37809,18258.99611,17967.88582,18391.93849,18149.65179,..,
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1332.118975,1394.876562,1424.872953,1471.269118,1518.512791,1556.470868,1619.063641,1714.41041,1899.929489,1858.950704,1720.275802,1590.683937,1490.893196,1480.614208,1514.144703,1563.941494,1424.392095,1351.732927,1415.177891,1456.369602,1563.199914,1658.149981,1741.794998,1839.764386,1972.545569,2106.844072,2260.951427,2412.692199,2569.990562,
Burkina Faso,126.3827857,129.4334767,135.2263149,131.4148463,132.2475981,134.9301666,133.2948102,142.4483044,144.1236674,144.3146212,141.7971181,141.1268163,141.6907984,139.6399516,148.3041307,149.7467585,159.2499368,156.5402314,160.3068526,162.6335386,160.3876497,163.5649804,175.2437523,171.8709894,164.8580715,174.5349206,183.6351267,178.3940911,183.6682199,182.5294164,176.4957746,187.2529699,182.5423377,183.6723528,180.9826866,186.0905816,200.9560376,207.8221785,216.8396717,226.2566769,223.6134711,231.1640253,234.389157,245.0641176,247.9958486,254.9829725,259.9906612,260.2526534,262.728966,
Burundi,98.47333311,83.45008009,89.44433085,91.53632496,95.56318055,97.54874026,100.0982942,111.6826408,109.2196766,105.8074043,126.6064936,128.7482316,119.5760596,126.9201785,124.8879636,124.1973261,131.8686742,144.0828768,139.4297378,138.0583692,135.4430182,147.235138,140.925133,141.2247964,136.6261713,147.581116,147.3249906,150.4051656,153.1310959,150.8571505,152.2796164,156.4397444,155.0476494,143.0301534,135.6888065,123.5311938,112.6426561,110.0724874,114.462116,112.1546732,109.547939,109.5809612,111.6986748,107.3313743,109.2773541,107.0321976,109.1826428,109.7295243,111.3118096,
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,206.2111643,218.1362591,225.6252034,231.6164263,238.7048487,245.0365599,268.5053405,286.3703637,303.8044893,318.6684061,340.2330693,369.5080733,411.8514803,448.9031605,486.6985468,510.8105407,
Cameroon,509.09666,504.2867115,508.3960329,515.7468819,521.9728456,520.2921955,531.5464794,462.2338618,479.6119792,490.6639086,493.0919588,497.2036332,497.2491591,510.0138378,549.4281691,594.1618974,545.4111104,602.1704263,712.9039963,733.585217,698.1256673,793.8178464,829.1459245,860.8408812,898.5101955,942.4344066,976.1494081,926.3188738,828.0169544,788.6352239,718.767405,671.5354072,632.4030651,595.3513822,564.9760868,568.5233235,582.0098005,596.8439858,612.0481121,623.9736704,635.0299878,648.2911637,658.7110246,669.5064112,678.3865293,678.1328907,684.0735102,692.001814,702.8518479,
Canada,9374.882763,9479.824008,9967.364924,10290.3624,10774.65252,11283.60535,11804.66791,11932.16572,12362.93168,12837.46862,12986.31308,13320.19453,13823.29177,14537.59081,14806.31262,14793.71436,15358.40533,15703.90211,16161.76895,16610.1674,16751.33814,17124.39144,16435.46486,16713.69979,17516.24039,18183.7346,18437.71213,18971.40725,19659.66977,19817.99416,19561.87971,18893.80568,18826.65515,19057.23061,19781.71291,20169.53837,20276.4512,20911.11272,21580.31716,22586.44027,23559.50369,23738.89551,24214.9286,24425.8753,24936.82598,25402.11933,25921.8208,26361.15464,26200.11699,
Cape Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,624.0102858,645.8067442,701.1771116,757.8519219,800.639316,803.7531514,807.8894249,838.6013343,867.4536787,854.1219686,846.1516166,853.0693865,891.6416607,931.4142823,979.1138247,996.97458,1029.859672,1084.952873,1156.469948,1210.526508,1234.310276,1268.844752,1324.97687,1294.299342,1425.710922,1490.030023,1553.879458,1575.773369,
Central African Rep.,355.8781766,367.2337877,347.3766631,338.5987587,339.0776091,335.5913114,330.9331446,339.2281334,336.8088698,353.2733631,354.2852831,351.3500713,344.6833909,344.5342065,359.2399496,353.3507956,364.6720585,370.2836272,366.165786,348.3995365,324.0879645,310.1268965,324.200732,289.0119582,307.4391549,311.1571979,314.6846582,292.6777945,291.5098053,290.9286059,278.1649933,269.8329933,246.0045105,240.3350713,245.520728,256.5026179,240.1508579,246.7768051,252.3683978,255.682717,256.1353378,251.8408482,245.8434121,223.210648,221.5321403,222.8190438,227.0544081,231.0599504,231.6884373,
Chad,252.8542121,250.9324095,258.6704467,249.0022768,237.5067568,233.8501546,224.8216231,221.8735435,216.2728198,226.1966908,225.2329279,214.9684708,212.107602,189.5358923,194.187553,206.9093379,208.5724812,208.9365374,203.8428254,156.9010132,144.2841443,142.5421111,146.6731904,165.5174598,164.5237431,194.8589163,181.4453763,171.6850628,192.0324129,195.0689664,181.1079936,190.5562284,199.574091,163.1405325,174.2040175,170.900132,169.2248052,173.1643847,179.2708796,172.1768151,164.8537348,177.5953814,185.7589399,205.5149442,265.2412607,301.238037,292.8487066,285.2383726,277.084215,
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40272.8796,41624.61265,43892.90365,43093.99893,42272.2782,40815.2212,40809.64203,41277.81847,43198.09436,45650.45463,..,
Chile,1842.207638,1868.789171,1916.538299,1983.440761,1987.485611,1949.908646,2098.013764,2129.085465,2164.956205,2197.135552,2202.095503,2357.352859,2297.122236,2146.786679,2164.880603,1889.510226,1925.539374,2063.985244,2187.842334,2344.967169,2499.699086,2578.92434,2276.77832,2155.543259,2289.534181,2412.214985,2505.132056,2625.930941,2770.496883,3010.486923,3067.02405,3252.015127,3584.93386,3766.40467,3912.570498,4258.058906,4504.61941,4734.501619,4822.805994,4725.780395,4877.875065,4983.4052,5034.714169,5174.681164,5428.723852,5670.518013,5869.650622,6081.99772,6211.702917,
China,105.4589882,77.66230912,72.32492731,77.86736518,88.13005164,100.1379744,107.8055687,99.08056846,92.56953683,105.2889813,122.2907043,127.3056038,128.9355595,135.9807693,136.263895,145.5254668,140.9983713,149.660741,164.9488956,175.1332101,186.4404988,193.6390265,208.1717993,227.550663,258.7213938,289.6772704,310.5157429,341.0228265,373.4961798,382.8938765,391.6547135,421.8910713,475.9310091,536.3596758,599.8049768,657.9955581,716.2483364,774.8881174,827.3523172,882.5562891,949.1823289,1020.524581,1105.957529,1208.999396,1323.225877,1452.27501,1611.71434,1811.75019,1964.714929,
Colombia,1129.599652,1154.253585,1181.682884,1180.443272,1221.755428,1222.213167,1250.332684,1265.720466,1309.6201,1357.609902,1414.850394,1462.551403,1538.1298,1604.527543,1658.655726,1657.692124,1697.966929,1727.92755,1831.277568,1886.001039,1919.226308,1919.168141,1894.922573,1883.288427,1904.910205,1922.394808,1992.41502,2056.530249,2096.968474,2125.712681,2210.282969,2217.388112,2285.214022,2296.009369,2385.682607,2464.605894,2470.537958,2510.432923,2481.092339,2336.434546,2364.753357,2376.964233,2396.543329,2467.805149,2543.076154,2647.699049,2789.078537,2955.251696,2986.221487,
Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,404.6298461,409.4238437,424.3207115,433.3002767,439.4695983,437.8924491,434.558448,430.2794365,430.4419324,405.9971107,415.6582566,383.0840532,407.0782276,410.554141,380.7655443,386.2692722,373.3139986,380.2459518,375.5243217,378.2544507,373.6633902,378.0375477,385.4986383,386.7833228,377.7955458,385.5487351,381.9935128,374.8258794,369.5639239,
"Congo, Dem. Rep.",324.5332618,282.1622737,333.5311904,342.1247826,325.1338434,319.5166352,331.5668718,318.7638836,322.7544594,342.4576303,331.670682,341.5144726,332.3439475,349.2542443,349.9765327,323.0077031,296.9607262,290.4203115,266.8002468,260.1361399,258.2198198,256.8218507,248.4705067,244.8738232,251.0263171,244.7661151,248.6369891,247.5320576,240.838112,229.7725384,206.9223598,182.1298836,156.3735313,129.8630736,120.1512246,117.0286374,112.605389,103.7264658,99.78046456,93.33795751,84.71101472,80.62464946,80.94293165,83.00291954,85.81824281,88.67439636,90.54202367,93.55564602,96.67273771,
"Congo, Rep.",619.1951704,654.0194718,670.384028,626.5444568,633.1368672,638.6330114,629.4925963,624.8518012,653.4827019,682.6503205,704.9920913,737.3999381,777.2805161,816.165512,853.9778335,891.973857,872.4703105,769.7746239,793.3165361,844.1348835,962.3018805,1097.042425,1314.491069,1349.249022,1399.963995,1342.145096,1213.306751,1180.45022,1167.071255,1163.714094,1142.697266,1137.769847,1135.42956,1094.570601,1009.365646,1027.074097,1051.219601,1027.800538,1049.2506,1004.933,1060.742985,1076.99375,1099.486509,1080.71477,1091.662106,1149.704345,1197.077882,1156.470614,1199.256483,
Costa Rica,1797.905808,1719.51094,1795.224498,1816.63391,1829.1308,1945.160346,2034.734986,2087.376994,2199.737095,2261.05315,2369.30158,2469.01925,2609.226677,2746.321632,2831.184712,2820.580255,2900.810833,3076.237591,3181.05541,3247.104569,3181.858276,3024.397037,2726.719604,2727.567413,2817.523778,2769.869952,2851.768147,2967.324746,3000.444244,3071.746656,3111.475461,3113.105241,3316.313768,3477.294236,3554.378774,3603.777927,3545.728957,3650.284649,3859.384271,4077.246957,4056.728322,4012.515684,4045.055318,4221.763568,4322.879039,4501.219563,4821.378859,5123.723129,5187.186301,
Cote d'Ivoire,581.6413195,615.1186391,598.0598451,656.9723601,741.067127,688.6115052,736.9156542,739.1719866,797.3787925,836.3646784,882.8904776,923.2755765,918.7267599,928.4614445,923.4409008,952.5481568,1024.576037,1047.303111,1106.682402,1080.294838,917.8104348,907.1640639,868.8561556,799.0619697,745.149183,747.516554,742.2423419,712.3259318,694.5309729,689.6438423,658.0006019,635.1161628,611.5105441,589.4783527,574.5345665,595.7906449,622.0216119,637.9824841,649.2763608,641.928632,602.7844084,588.8044285,567.9591855,547.6569703,546.0566087,541.2666347,533.0977111,530.1292415,529.5362703,
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5261.615404,4400.57893,3919.89256,3473.207696,3669.193727,3903.493133,4292.17091,4505.123512,4673.478277,4549.677231,4823.21085,4992.386503,5264.070525,5525.042022,5761.13578,5999.571737,6286.747284,6636.700299,6796.341031,
Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3904.163022,4653.043682,5386.736103,5771.161,6299.126628,6603.039349,6685.451072,7022.919313,7354.053051,7895.146221,8180.574426,8386.840031,8882.273404,9548.513755,10161.48161,10683.77871,10487.7587,11172.38239,10982.15828,11392.03464,11869.78458,11898.07953,12006.10962,12457.91965,12916.38916,13424.18589,13809.54311,13925.4614,13947.19343,14198.61987,14408.15403,14718.4868,15148.65539,15509.50081,
Czech Rep.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5336.145183,4741.233779,4712.693491,4709.717701,4811.901508,5100.439988,5314.087253,5280.829317,5245.431413,5321.845806,5521.189426,5684.087106,5802.772186,6010.327388,6274.548962,6657.959911,7088.159819,7475.400549,7593.30977,
Denmark,11387.19652,12037.36478,12618.22645,12598.29736,13661.15623,14169.38199,14436.38529,14803.84124,15303.73323,16191.46706,16392.16301,16768.56786,17367.1746,17912.40167,17685.24889,17417.44585,18431.42452,18740.74229,19106.92455,19811.21317,19715.75694,19544.70971,20286.46562,20840.71303,21717.33954,22582.51931,23667.76658,23708.59821,23660.94706,23782.59496,24102.31233,24349.41811,24753.58299,24640.84416,25922.42153,26599.46319,27176.7005,27928.01695,28441.05692,29069.95532,29992.9406,30104.30938,30136.64122,30179.74517,30792.77989,31459.50945,32384.17677,32771.7419,32207.88843,
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1178.039733,1090.379202,1066.981204,981.5357502,957.0971939,904.056675,842.6407811,809.367589,782.6837251,774.1011248,755.5651438,752.7852406,756.672333,766.6228684,782.0954544,792.7547046,810.6337551,830.2157787,847.0760332,
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1806.217136,2006.26239,1623.845446,1838.974906,2025.987031,2117.325306,2182.123514,2308.76069,2346.937529,2521.961433,2722.723375,2965.104131,2968.090804,3135.388542,3165.752622,3233.045285,3280.680935,3311.526722,3351.13998,3478.601645,3537.371176,3725.617376,3765.600458,3801.792641,3671.917295,3524.64314,3594.777515,3806.785168,3906.205615,4084.998118,4201.963658,4359.278072,
Dominican Rep.,901.4880248,851.5203329,963.8876975,993.0899136,1026.147553,869.6378428,956.0544471,957.7525601,931.3700672,1002.625862,1151.498522,1241.006611,1332.575712,1464.325636,1511.937121,1550.317692,1614.049098,1653.993755,1649.877702,1684.801207,1777.342585,1811.146783,1800.218637,1841.293439,1823.077629,1745.454173,1768.136893,1905.876524,1906.428165,1949.444254,1805.768078,1786.34289,1935.217416,2034.917763,2042.726049,2115.878812,2227.173436,2364.859095,2489.165357,2613.632102,2717.680793,2723.499134,2836.629201,2786.353454,2780.582458,2993.343348,3264.717606,3490.894339,3623.037956,
Ecuador,820.2172525,809.0352973,821.4281874,828.355022,866.8706249,868.0855135,841.7957678,874.1715399,868.2204315,888.6882375,928.4323139,959.7284036,974.8544698,1099.84824,1157.663646,1218.324506,1274.156209,1266.846652,1315.133095,1345.220828,1366.39709,1374.031724,1329.627218,1261.770109,1276.131527,1279.786358,1298.481852,1239.425328,1310.860748,1292.655677,1296.948752,1333.850118,1324.651928,1300.865949,1335.151564,1333.472858,1342.030157,1374.088019,1382.136756,1276.802194,1294.982558,1346.641492,1386.683472,1419.453764,1515.711878,1589.094729,1633.267247,1656.53878,1746.203571,
Egypt,431.9892039,439.4373546,457.6419915,486.5328478,513.0474134,546.5699215,538.8527628,529.1126152,530.5942091,553.6269076,571.5177876,578.356492,577.6082132,569.530785,571.4445082,609.2556257,683.2215982,753.908647,779.4452067,807.2299904,866.6151814,876.8220903,939.176138,982.5006853,1014.832573,1052.944559,1051.588487,1048.802566,1074.960327,1099.743479,1134.885845,1122.016082,1147.90475,1158.468973,1181.906653,1213.653347,1250.350906,1294.40168,1321.528101,1376.016968,1422.732572,1445.336321,1451.674562,1469.938598,1501.174334,1539.209156,1614.332261,1697.053393,1785.827986,
